id,track_name,popularity,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2JidgPELbiuTXYfRpgL3Fp,I Fall In Love Too Easily,0,Chet Baker,0.585,0.0862,0.0,-18.591,0.0388,0.962,0.381,0.106,0.219,63.579
6ydXchqYI9v0oXSXjPa9jT,Soultrane,0,Chet Baker,0.342,0.0695,3.0,-18.661,0.0327,0.94,0.951,0.104,0.224,159.468
6ydXchqYI9v0oXSXjPa9jT,Soultrane,0,Chet Baker,0.342,0.0695,3.0,-18.661,0.0327,0.94,0.951,0.104,0.224,159.468
0vhXhFk63V1pcH5gHU4DRm,Whatever Possess'd Me,0,Chet Baker,0.416,0.0325,7.0,-21.545,0.0396,0.974,0.00854,0.106,0.28,165.188
0vhXhFk63V1pcH5gHU4DRm,Whatever Possess'd Me,0,Chet Baker,0.416,0.0325,7.0,-21.545,0.0396,0.974,0.00854,0.106,0.28,165.188
55GPAZmC5Nb5YyZo8Inken,You Go To My Head,24,Chet Baker,0.562,0.0999,10.0,-17.271,0.0395,0.955,0.444,0.136,0.322,108.595
6uicJA7B90pChbTLS0qrHR,Tenderly,23,Chet Baker,0.507,0.124,3.0,-14.95,0.0379,0.971,0.648,0.118,0.249,120.444
2k10uBBgVuznEdKGoz2Wzq,My Funny Valentine - Instrumental,21,Chet Baker,0.615,0.166,2.0,-18.162,0.344,0.982,0.883,0.109,0.908,105.078
1sycgkB3dHSx891ERva0VF,I Fall In Love Too Easily,21,Chet Baker,0.585,0.0862,0.0,-18.591,0.0388,0.962,0.381,0.106,0.219,63.579
4ECFGf9FahyYFaEfRfU0oe,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,21,Chet Baker,0.425,0.0299,10.0,-24.428,0.0444,0.962,0.00601,0.103,0.209,97.959
33CpQp7iDl3Lqcp1cN8gY8,Time After Time - Vocal Version,21,Chet Baker,0.489,0.0476,0.0,-18.852,0.0369,0.937,3.05e-05,0.21,0.237,99.685
5RXJ9MJn856OYHfoAL3SDW,But Not For Me - Vocal Version,20,Chet Baker,0.627,0.26,5.0,-11.184,0.0362,0.919,4.29e-05,0.11,0.558,82.211
1DzcMhEX7R1l9Zp0Rov4qe,There Will Never Be Another You - Vocal Version,20,Chet Baker,0.514,0.112,3.0,-16.154,0.0593,0.949,0.0018,0.0743,0.601,167.168
2XexDBaIREEumx9x2H8Xle,Let's Get Lost,20,Chet Baker,0.516,0.37,9.0,-9.345,0.0299,0.84,0.000798,0.108,0.558,77.883
2F28osJiDrbyi79HSOaF9Y,Everything Happens To Me - Complete Take 2,19,Chet Baker,0.486,0.144,5.0,-17.555,0.0455,0.932,0.0,0.108,0.124,114.478
6vWmrLN10nH3n3wW361v1E,Sure Gonna Miss Her,19,Chet Baker,,,,,,,,,,
5cTIlih28I2Cgp7vsKqTFV,Alone Together - Instrumental,18,Chet Baker,0.53,0.0304,2.0,-18.013,0.0342,0.985,0.42,0.109,0.266,51.835
2KmUOiwfUJeirGfiocYKso,There's A Small Hotel,18,Chet Baker,0.454,0.38,3.0,-13.868,0.0281,0.781,0.146,0.115,0.661,108.631
6wO1nLOvkN5LFyetAYB4Tf,"You're Mine, You!",18,Chet Baker,0.358,0.0612,7.0,-18.296,0.0344,0.973,3.24e-05,0.106,0.16,74.896
1ittPmyIt2Z9EpRS2L0rpE,Look For The Silver Lining - Vocal Version,17,Chet Baker,0.644,0.186,2.0,-15.573,0.0381,0.947,0.00569,0.113,0.407,80.535
39RwZQDGV3xgHepNA3QQCA,Like Someone In Love - Vocal Version,17,Chet Baker,0.489,0.0279,10.0,-22.843,0.0366,0.931,0.00248,0.197,0.222,106.643
779z6sdXYsRXitAZcMCUDC,Trav'lin Light,17,Chet Baker,0.569,0.072,0.0,-18.674,0.0377,0.886,0.113,0.101,0.334,112.331
57NO1RXABxYKfdhFfLIgvb,"Sweet Sue, Just You",17,Chet Baker,0.364,0.0167,9.0,-21.547,0.0398,0.973,0.00021,0.106,0.108,78.767
3Yk6sU0yNizHfRT8dOVQ2N,Everything Depends On You,16,Chet Baker,0.405,0.144,0.0,-13.777,0.0332,0.962,0.00349,0.148,0.114,102.4
0Si52ncfeqWSqIJiE9zR73,Come Rain Or Come Shine,16,Chet Baker,0.562,0.0445,9.0,-18.248,0.0422,0.938,0.000229,0.114,0.188,123.055
2nJC3xuP3CtHRFSSUhtf55,Time After Time - Instrumental,16,Chet Baker,0.541,0.116,0.0,-14.626,0.0383,0.986,0.146,0.145,0.501,139.704
2IDVcBQtSZk1wnSjDre1c5,Ergo - Remastered 2004,16,Chet Baker,0.532,0.339,7.0,-9.287,0.0397,0.891,0.754,0.136,0.599,167.335
5F32zViGWtJYhURVcgkfzL,Moon Love,16,Chet Baker,0.586,0.0158,1.0,-21.647,0.0453,0.993,0.927,0.111,0.347,60.831
6aFs7Kpcg06E8wVKNG2mE6,Stardust,16,Chet Baker,0.552,0.0671,1.0,-18.633,0.039,0.966,0.787,0.101,0.317,84.551
5HzbPnSe0UdlpeZP9tflYg,My Ideal - Vocal Version,15,Chet Baker,0.602,0.0472,0.0,-19.128,0.0542,0.856,6.14e-05,0.203,0.234,116.675
